编号,答题时长,7.漏洞1的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭客厅灯。这个补丁符合您对该漏洞修复的期望吗？,8.针对漏洞1，请问您有其他修复建议吗？,9.漏洞2的修复补丁为：补充**规则1：如果** 小爱音响接收到指令 **并且 用户在家**，**那么** 打开电视机。防止用户不在家时接收陌生人指令。这个补丁符合您对该漏洞修复的期望吗？ ,10.针对漏洞2，请问您有其他修复建议吗？,11.该漏洞的修复补丁为：定义一条新规则替换原有规则：**如果** 家中检测到烟雾， **那么** 警报器报警。这个补丁符合您对该漏洞修复的期望吗？,12.针对该漏洞，请问您有其他修复建议吗？,13.该漏洞的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭门锁。这个补丁符合您对该漏洞修复的期望吗？,14.针对该漏洞，请问您有其他修复建议吗？,15.漏洞1的修复补丁为：补充**规则2：如果 **用户回家5分钟后 **并且 用户在家**，**那么** 打开加热器。用来防止用户短暂回家后离开的场景。这个补丁符合您对该漏洞修复的期望吗？,16.针对漏洞1，请问您有其他修复建议吗？,17.漏洞2的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭加热器。这个补丁符合您对该漏洞修复的期望吗？,18.针对漏洞2，请问您有其他修复建议吗？,19.漏洞1的修复补丁为：补充规则1：**如果** 室内检测到一氧化碳，**那么** 打开通风扇通风10分钟后关闭，**如果在即将关闭风扇时检测到一氧化碳，则等待一氧化碳完全排出后再进行关闭。**这个补丁符合您对该漏洞修复的期望吗？,20.针对漏洞1，请问您有其他修复建议吗？,21.漏洞2的修复补丁为：补充**规则2：如果** 室内空气湿度高，**那么 **打开通风扇通风5分钟关闭，**如果在即将关闭风扇时检测到一氧化碳，则等待一氧化碳完全排出后再进行关闭。**这个补丁符合您对该漏洞修复的期望吗？ ,22.针对漏洞2，请问您有其他修复建议吗？,23.漏洞的修复补丁为：定义一条新规则：**如果** 用户离家， **那么** 关闭空调。这个补丁符合您对该漏洞修复的期望吗？ ,24.针对该漏洞，请问您有其他修复建议吗？,
1,126,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,
2,128,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,
3,136,A.完全符合,,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,,
4,141,A.完全符合,关闭前进行提醒,B.比较符合,执行外部访问指令前征询用户,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,,A.完全符合,,
5,178,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,
6,181,B.比较符合,,B.比较符合,,B.比较符合,,C.不符合（请给出建议）,检测钥匙跟着出门了,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,A.完全符合,,
7,188,A.完全符合,,A.完全符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,
8,189,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,
9,191,B.比较符合,,B.比较符合,,B.比较符合,,A.完全符合,,B.比较符合,,A.完全符合,,A.完全符合,,A.完全符合,,B.比较符合,,
10,199,B.比较符合,,B.比较符合,,B.比较符合,希望更好,B.比较符合,,B.比较符合,可以,B.比较符合,更好,B.比较符合,,B.比较符合,,B.比较符合,学习了,
11,206,B.比较符合,,A.完全符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,同意上述方案,C.不符合（请给出建议）,规则分别设置为在特定季节有效,
12,231,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,B.比较符合,,
